Country,Continent,Capital City,Abbreviation,Fact 1,Fact 1 Source,Fact 2,Fact 2 Source,Fact 3,Fact 3 Source,Fact 4,Fact 4 Source,Fact 5,Fact 5 Source,Fact 6,Fact 6 Source,Fact 7,Fact 7 Source,Fact 8,Fact 8 Source,Fact 9,Fact 9 Source,Fact 10,Fact 10 Source
Bangladesh,Asia,Dhaka,BGD,"The Royal Bengal Tiger is the national animal and can be found in the Sundarbans, the largest mangrove forest in the world.",https://en.wikipedia.org/wiki/Royal_Bengal_tiger,"The country is home to the world's longest natural sea beach, Cox's Bazar, which stretches over 120 kilometers.",https://en.wikipedia.org/wiki/Cox%27s_Bazar,"The country has a unique tradition of boat racing, known as Nouka Baich, which is a popular sport.",https://en.wikipedia.org/wiki/Nouka_Baich,"The country is known for its vibrant rickshaw art, which is a popular form of urban folk art.",https://en.wikipedia.org/wiki/Rickshaw_art_in_Bangladesh,"The country has a rich tradition of folk music, including the mystical Baul music, which is recognized by UNESCO as an intangible cultural heritage.",https://en.wikipedia.org/wiki/Baul,"The country is one of the world's largest producers of jute, often referred to as the 'golden fiber'.",https://en.wikipedia.org/wiki/Jute,"The country has a unique language movement day, commemorating the 1952 protests for the recognition of the Bengali language.",https://en.wikipedia.org/wiki/Language_Movement_Day,"The country is home to the world's largest river delta, formed by the confluence of the Ganges, Brahmaputra, and Meghna rivers.",https://en.wikipedia.org/wiki/Ganges_Delta,"The country has a traditional martial art form known as Lathi Khela, which involves fighting with sticks.",https://en.wikipedia.org/wiki/Lathi_Khela,"The country has a unique architectural style known as terracotta architecture, which is prominent in ancient temples and mosques.",https://en.wikipedia.org/wiki/Terracotta_architecture
Belarus,Europe,Minsk,BLR,The country is home to the largest European bison population in the world.,https://en.wikipedia.org/wiki/European_bison,"The national dish is called Draniki, which are potato pancakes.",https://en.wikipedia.org/wiki/Draniki,"The country has a holiday called Radunitsa, which is a day to remember the dead and visit their graves.",https://en.wikipedia.org/wiki/Radunitsa,The country has a museum dedicated entirely to the history of tractors.,https://en.wikipedia.org/wiki/Belarusian_State_Museum_of_the_History_of_the_Great_Patriotic_War,"The country is known for its love of mushrooms, with many people participating in mushroom picking as a popular pastime.",https://en.wikipedia.org/wiki/Mushroom_hunting,"The country has a unique folk dance called the Khorovod, which involves people dancing in a circle.",https://en.wikipedia.org/wiki/Khorovod,"The country has a tradition of building straw goats for the New Year, which are then burned to symbolize the end of the old year.",https://en.wikipedia.org/wiki/Yule_Goat,The country has a national park that is one of the last and largest remaining parts of the primeval forest that once spread across the European Plain.,https://en.wikipedia.org/wiki/Bia%C5%82owie%C5%BCa_Forest,"The country has a unique form of embroidery called Vyshyvanka, which is often used in traditional clothing.",https://en.wikipedia.org/wiki/Vyshyvanka,"The country has a festival called Kupala Night, which involves jumping over fires and searching for a mythical fern flower.",https://en.wikipedia.org/wiki/Kupala_Night
Belgium,Europe,Brussels,BEL,The world's first recorded lottery took place in 1441.,https://en.wikipedia.org/wiki/Lottery#History,"It is home to the world's largest courtroom, the Palace of Justice.","https://en.wikipedia.org/wiki/Palais_de_Justice,_Brussels",The saxophone was invented by Adolphe Sax in 1846.,https://en.wikipedia.org/wiki/Saxophone,It has more comic strip artists per square kilometer than any other country.,https://en.wikipedia.org/wiki/Belgian_comics,The word 'spa' comes from a town known for its healing hot springs.,"https://en.wikipedia.org/wiki/Spa,_Belgium",It has the highest density of castles per square kilometer in the world.,https://en.wikipedia.org/wiki/Castles_in_Belgium,The Smurfs were created by a cartoonist named Peyo.,https://en.wikipedia.org/wiki/The_Smurfs,It is the world's largest producer of billiard balls.,https://en.wikipedia.org/wiki/Saluc,"The longest tram line in the world, the Coast Tram, runs along its coast.",https://en.wikipedia.org/wiki/Coast_tram_(Belgium),"It has three official languages: Dutch, French, and German.",https://en.wikipedia.org/wiki/Languages_of_Belgium
Belize,N. America,Belmopan,BLZ,"The national bird is the Keel-billed Toucan, known for its large colorful bill.",https://en.wikipedia.org/wiki/Keel-billed_toucan,"The country has the only jaguar reserve in the world, the Cockscomb Basin Wildlife Sanctuary.",https://en.wikipedia.org/wiki/Cockscomb_Basin_Wildlife_Sanctuary,"The Great Blue Hole, a giant marine sinkhole, is a popular spot for divers.",https://en.wikipedia.org/wiki/Great_Blue_Hole,"The official language is English, making it the only country in Central America with this distinction.",https://en.wikipedia.org/wiki/Belize#Languages,"The national flower is the Black Orchid, which is actually a dark purple.",https://en.wikipedia.org/wiki/Prosthechea_cochleata,"The country has a unique system of protected areas, with over 36% of its land and sea under some form of protection.",https://en.wikipedia.org/wiki/Protected_areas_of_Belize,"The currency features Queen Elizabeth II, as it is a member of the Commonwealth.",https://en.wikipedia.org/wiki/Belize_dollar,The Barrier Reef Reserve System is a UNESCO World Heritage Site.,https://en.wikipedia.org/wiki/Belize_Barrier_Reef,"The country is home to the ancient Maya city of Caracol, which is larger than its modern capital.",https://en.wikipedia.org/wiki/Caracol,"The national animal is the Baird's Tapir, also known as the mountain cow.",https://en.wikipedia.org/wiki/Baird%27s_tapir
Benin,Africa,Porto-Novo,BEN,"The country is home to the world's largest religious site dedicated to the Vodun (Voodoo) religion, the Temple of Pythons.",https://en.wikipedia.org/wiki/Temple_of_Pythons,"The national flag was designed in 1959 and features a simple tricolor of green, yellow, and red.",https://en.wikipedia.org/wiki/Flag_of_Benin,"The country has a unique tradition of stilt dancing, which is performed during various festivals and celebrations.",https://en.wikipedia.org/wiki/Stilt_dance,The Pendjari National Park is one of the last strongholds for the West African lion.,https://en.wikipedia.org/wiki/Pendjari_National_Park,"The country is known for its vibrant and colorful textile industry, particularly the production of wax prints.",https://en.wikipedia.org/wiki/Wax_print,"The country has a rich tradition of oral storytelling, with the Gèlèdé festival celebrating the power and wisdom of women.",https://en.wikipedia.org/wiki/G%C3%A8l%C3%A8d%C3%A9,The country is one of the few places where the endangered West African manatee can be found.,https://en.wikipedia.org/wiki/West_African_manatee,"The country has a unique architectural style known as Tata Somba, characterized by fortress-like mud houses.",https://en.wikipedia.org/wiki/Tata_Somba,"The country is home to the annual International Festival of Vodun Arts and Culture, celebrating the Vodun religion and its cultural impact.",https://en.wikipedia.org/wiki/International_Festival_of_Vodun_Arts_and_Culture,"The country has a national dish called Kuli-Kuli, which is made from ground peanuts and is a popular snack.",https://en.wikipedia.org/wiki/Kuli-Kuli
Bhutan,Asia,Thimphu,BTN,The country measures success by Gross National Happiness instead of GDP.,https://en.wikipedia.org/wiki/Gross_National_Happiness,"It is illegal to climb the country's highest mountain, Gangkhar Puensum, to respect local spiritual beliefs.",https://en.wikipedia.org/wiki/Gangkhar_Puensum,"The country is the only carbon-negative country in the world, absorbing more carbon dioxide than it produces.",https://en.wikipedia.org/wiki/Carbon_neutrality#Carbon-negative_countries,"Television and the internet were banned until 1999, making it one of the last countries to introduce TV.",https://en.wikipedia.org/wiki/Television_in_Bhutan,The country has a policy of maintaining a forest cover of over 60% of its total land area.,https://en.wikipedia.org/wiki/Environment_of_Bhutan,"The country is known for its unique architecture, with buildings constructed without the use of nails.",https://en.wikipedia.org/wiki/Architecture_of_Bhutan,"The country has a national sport called archery, which is played with traditional bamboo bows.",https://en.wikipedia.org/wiki/Archery_in_Bhutan,The country has a unique policy of banning the sale of tobacco products.,https://en.wikipedia.org/wiki/Tobacco_control_in_Bhutan,"The country is home to the Takin, a rare animal that is the national animal and resembles a goat-antelope.",https://en.wikipedia.org/wiki/Takin,"The country has a tradition of building large, colorful phalluses on houses to ward off evil spirits.",https://en.wikipedia.org/wiki/Phallus_paintings_in_Bhutan
Bolivia,S. America,La Paz,BOL,"The country has the world's largest salt flat, Salar de Uyuni, which is so reflective it is used to calibrate satellites.",https://en.wikipedia.org/wiki/Salar_de_Uyuni,"It is home to the world's highest navigable lake, Lake Titicaca, which is also the largest lake in South America by volume of water.",https://en.wikipedia.org/wiki/Lake_Titicaca,"The country has two capitals: Sucre is the constitutional capital, while La Paz is the seat of government and executive capital.",https://en.wikipedia.org/wiki/Bolivia#Government_and_politics,"It is one of the few countries in the world where the zebra is used as a traffic safety mascot, with people dressed in zebra costumes helping pedestrians cross streets safely.",https://en.wikipedia.org/wiki/Bolivia#Culture,"The country has a unique festival called the Gran Poder, which is a massive parade featuring traditional dances and costumes, celebrating the power of the Christian God and indigenous deities.",https://en.wikipedia.org/wiki/Festival_of_Gran_Poder,"It is home to the Madidi National Park, one of the most biologically diverse places on Earth, with over 11% of the world's bird species.",https://en.wikipedia.org/wiki/Madidi_National_Park,"The country has a tradition of building Ekeko dolls, which are believed to bring abundance and prosperity, and are often given as gifts during the Alasitas Festival.",https://en.wikipedia.org/wiki/Ekeko,"It is one of the few countries where the indigenous languages, such as Quechua and Aymara, are recognized as official languages alongside Spanish.",https://en.wikipedia.org/wiki/Bolivia#Languages,"The country has a unique sport called 'Tinku,' which is a ritualistic form of combat that is part of a traditional festival, where participants engage in hand-to-hand fighting.",https://en.wikipedia.org/wiki/Tinku,"It is home to the world's most dangerous road, the Yungas Road, also known as 'Death Road,' which attracts thrill-seeking cyclists from around the world.",https://en.wikipedia.org/wiki/Yungas_Road
Bosnia and Herzegovina,Europe,Sarajevo,BIH,"The country is home to the last remaining jungle in Europe, called Perućica, which is part of the Sutjeska National Park.",https://en.wikipedia.org/wiki/Peru%C4%87ica,"It has a town named after a famous inventor, Nikola Tesla, called Teslić.",https://en.wikipedia.org/wiki/Tesli%C4%87,"The country has a unique coffee culture, with a traditional coffee preparation method that is similar to Turkish coffee but with its own distinct twist.",https://en.wikipedia.org/wiki/Bosnian_coffee,"The country is known for its medieval tombstones called 'stećci,' which are UNESCO World Heritage Sites.",https://en.wikipedia.org/wiki/Ste%C4%87ak,"It has a river called the Neretva, which is one of the coldest rivers in the world, with temperatures often below 7°C (45°F) even in summer.",https://en.wikipedia.org/wiki/Neretva,"The country is home to the world's largest man-made ancient pyramids, known as the Bosnian pyramids, which are a controversial archaeological site.",https://en.wikipedia.org/wiki/Bosnian_pyramids,"It has a city called Jajce, which is famous for its beautiful waterfall located in the city center.",https://en.wikipedia.org/wiki/Jajce,"The country has a unique sport called 'pljočke,' which is similar to bocce and is traditionally played in rural areas.",https://en.wikipedia.org/wiki/Pljo%C4%8Dke,"It is home to the only remaining tram system in the region, located in the city of Sarajevo.",https://en.wikipedia.org/wiki/Trams_in_Sarajevo,"The country has a village called Lukomir, which is the highest and most isolated village in the country, preserving traditional ways of life.",https://en.wikipedia.org/wiki/Lukomir
Botswana,Africa,Gaborone,BWA,"The currency is called the Pula, which means 'rain' in Setswana, reflecting the importance of rain in this semi-arid country.",https://en.wikipedia.org/wiki/Botswana_pula,"The country is home to the world's largest concentration of African elephants, particularly in the Chobe National Park.",https://en.wikipedia.org/wiki/Chobe_National_Park,"The Okavango Delta, one of the world's largest inland deltas, is a UNESCO World Heritage site and a unique ecosystem that floods seasonally.",https://en.wikipedia.org/wiki/Okavango_Delta,"The country has a tradition of 'kgotla,' a public meeting or community council where decisions are made by consensus, reflecting its democratic culture.",https://en.wikipedia.org/wiki/Kgotla,"The Makgadikgadi Pan, one of the largest salt flats in the world, is a remnant of an ancient lake that once covered much of the area.",https://en.wikipedia.org/wiki/Makgadikgadi_Pan,,,,,,,,,,
Brazil,S. America,Brasília,BRA,"The Amazon River, located in this country, is the second longest river in the world and has the largest drainage basin.",https://en.wikipedia.org/wiki/Amazon_River,This country is home to the world's largest population of Catholics.,https://en.wikipedia.org/wiki/Catholic_Church_in_Brazil,"The country has a city named after a saint, which is the largest city in the Southern Hemisphere.",https://en.wikipedia.org/wiki/S%C3%A3o_Paulo,"The country has a unique dance and martial art form called Capoeira, which combines elements of dance, acrobatics, and music.",https://en.wikipedia.org/wiki/Capoeira,This country is the only one in the Americas to have been a colony of the Portuguese Empire.,https://en.wikipedia.org/wiki/Colonial_Brazil,"The country is famous for its annual Carnival festival, which is considered the world's largest carnival.",https://en.wikipedia.org/wiki/Rio_Carnival,"The country has a unique environmental phenomenon called the 'Meeting of Waters,' where the dark Rio Negro and the pale sandy-colored Amazon River run side by side without mixing for several kilometers.",https://en.wikipedia.org/wiki/Meeting_of_Waters,"This country is home to the largest number of species of plants, freshwater fish, and mammals in the world.",https://en.wikipedia.org/wiki/Wildlife_of_Brazil,"The country has a national cocktail called Caipirinha, made with cachaça, sugar, and lime.",https://en.wikipedia.org/wiki/Caipirinha,"The country has a unique rock formation called the Sugarloaf Mountain, which is a popular tourist attraction.",https://en.wikipedia.org/wiki/Sugarloaf_Mountain
Brunei Darussalam,Asia,Bandar Seri Begawan,BRN,"The country has a national philosophy called 'Malay Islamic Monarchy' which emphasizes Malay culture, Islamic religion, and the monarchy.",https://en.wikipedia.org/wiki/Brunei#Malay_Islamic_Monarchy,"The country has one of the highest car ownership rates in the world, with about one car for every 2.09 people.",https://en.wikipedia.org/wiki/Transport_in_Brunei#Road_transport,"The country has a unique law that prohibits the sale of alcohol, but non-Muslims are allowed to bring a limited amount for personal consumption.",https://en.wikipedia.org/wiki/Alcohol_laws_in_Brunei,"The country is home to the world's largest residential palace, Istana Nurul Iman, which is the official residence of the Sultan.",https://en.wikipedia.org/wiki/Istana_Nurul_Iman,The country has a public holiday called 'Sultan's Birthday' which is celebrated with a grand parade and various cultural events.,https://en.wikipedia.org/wiki/Public_holidays_in_Brunei,The country has a unique form of traditional music called 'Aduk-Aduk' which is performed during the harvest festival.,https://en.wikipedia.org/wiki/Music_of_Brunei,"The country has a national park, Ulu Temburong National Park, which is only accessible by boat and is known for its pristine rainforest.",https://en.wikipedia.org/wiki/Ulu_Temburong_National_Park,The country has a unique traditional game called 'Gasing' which involves spinning tops and is played during festivals.,https://en.wikipedia.org/wiki/Gasing,The country has a law that mandates a two-hour lunch break on Fridays to allow for Friday prayers.,https://en.wikipedia.org/wiki/Brunei#Culture,The country has a unique form of martial arts called 'Silat' which is practiced as both a sport and a cultural tradition.,https://en.wikipedia.org/wiki/Silat
Bulgaria,Europe,Sofia,BGR,"The Cyrillic script, used by over 250 million people worldwide, was developed in the First Bulgarian Empire.",https://en.wikipedia.org/wiki/Cyrillic_script,"The oldest gold treasure in the world was discovered in the Varna Necropolis, dating back to 4,500 BC.",https://en.wikipedia.org/wiki/Varna_Necropolis,"The rose oil industry is a significant part of the economy, with the Rose Valley being a major producer of rose oil used in perfumes.",https://en.wikipedia.org/wiki/Rose_oil,"The Rila Monastery, a UNESCO World Heritage Site, was founded in the 10th century and is a symbol of the Slavic cultural identity.",https://en.wikipedia.org/wiki/Rila_Monastery,"The country is home to the only naturally occurring pyramidal rock formations in Europe, known as the Belogradchik Rocks.",https://en.wikipedia.org/wiki/Belogradchik_Rocks,The ancient Thracian city of Perperikon is believed to have been a sacred site where prophecies were made.,https://en.wikipedia.org/wiki/Perperikon,The Kukeri festival involves elaborate costumes and masks to scare away evil spirits and ensure a good harvest.,https://en.wikipedia.org/wiki/Kukeri,"The Madara Rider, a large rock relief, is a UNESCO World Heritage Site and dates back to the early medieval period.",https://en.wikipedia.org/wiki/Madara_Rider,"The country has a rich tradition of yogurt-making, and its yogurt is known for containing Lactobacillus bulgaricus, a unique bacterium.",https://en.wikipedia.org/wiki/Yogurt,"The Thracian Tomb of Kazanlak, another UNESCO World Heritage Site, features well-preserved Hellenistic frescoes.",https://en.wikipedia.org/wiki/Thracian_Tomb_of_Kazanlak
